"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/21/2021","AQS","450190020","1","5.5","ug/m3 LC","23","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/22/2021","AQS","450190020","1","8.2","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/24/2021","AQS","450190020","1","15.6","ug/m3 LC","58","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/25/2021","AQS","450190020","1","4.3","ug/m3 LC","18","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/26/2021","AQS","450190020","1","9.5","ug/m3 LC","40","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/27/2021","AQS","450190020","1","8.7","ug/m3 LC","36","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/28/2021","AQS","450190020","1","6.5","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/29/2021","AQS","450190020","1","7.2","ug/m3 LC","30","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/30/2021","AQS","450190020","1","6.2","ug/m3 LC","26","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/31/2021","AQS","450190020","1","8.1","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/06/2021","AQS","450190020","2","18.5","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/12/2021","AQS","450190020","2","4.2","ug/m3 LC","18","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/18/2021","AQS","450190020","2","6.1","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/19/2021","AQS","450190020","2","4.4","ug/m3 LC","18","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/24/2021","AQS","450190020","2","15.1","ug/m3 LC","57","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/30/2021","AQS","450190020","2","9.3","ug/m3 LC","39","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/10/2021","AQS","450190020","3","12.9","ug/m3 LC","53","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/11/2021","AQS","450190020","3","7.5","ug/m3 LC","31","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/12/2021","AQS","450190020","3","6.6","ug/m3 LC","28","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/13/2021","AQS","450190020","3","10.7","ug/m3 LC","45","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/14/2021","AQS","450190020","3","8.2","ug/m3 LC","34","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/15/2021","AQS","450190020","3","7.4","ug/m3 LC","31","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/16/2021","AQS","450190020","3","11.6","ug/m3 LC","48","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/17/2021","AQS","450190020","3","11.7","ug/m3 LC","49","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/18/2021","AQS","450190020","3","9.5","ug/m3 LC","40","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/19/2021","AQS","450190020","3","6.4","ug/m3 LC","27","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/20/2021","AQS","450190020","3","6.2","ug/m3 LC","26","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/21/2021","AQS","450190020","3","7","ug/m3 LC","29","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/22/2021","AQS","450190020","3","7.6","ug/m3 LC","32","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/23/2021","AQS","450190020","3","7.4","ug/m3 LC","31","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/24/2021","AQS","450190020","3","9.7","ug/m3 LC","40","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/25/2021","AQS","450190020","3","7.6","ug/m3 LC","32","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/26/2021","AQS","450190020","3","5.7","ug/m3 LC","24","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/27/2021","AQS","450190020","3","7.4","ug/m3 LC","31","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/28/2021","AQS","450190020","3","8.6","ug/m3 LC","36","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/29/2021","AQS","450190020","3","9","ug/m3 LC","38","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/30/2021","AQS","450190020","3","10.9","ug/m3 LC","45","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/01/2021","AQS","450190020","3","15.8","ug/m3 LC","59","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/02/2021","AQS","450190020","3","14.5","ug/m3 LC","56","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/03/2021","AQS","450190020","3","15.3","ug/m3 LC","58","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/04/2021","AQS","450190020","3","17.7","ug/m3 LC","63","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
